average time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstShingle2DiceVariantMinMatchLength1, 0.0, 3.0, 0.0, 26.0, 21.0, no result, 0.0, 0.0, 0.0, 9.0
rkrGst5GramDiceVariantMinMatchLength1, 0.0, 45.0, 7.0, 411.0, 3206.0, 134.0, 4.0, 3.0, 9.0, 296.0
rkrGstNormalized2GramDiceMinMatchLength1, 0.0, 23.0, 2.0, 147.0, 318.0, 36.0, 2.0, 1.0, 4.0, 151.0
rkrGstNormalizedTokenJaccardMinMatchLength1, 0.0, 2.0, 0.0, 18.0, 13.0, 7.0, 0.0, 0.0, 0.0, 7.0
rkrGstNormalizedShingle2JaccardMinMatchLength1, 0.0, 5.0, 0.0, 26.0, 25.0, no result, 0.0, 0.0, 1.0, 11.0
cosineNormalized3GramsTermFrequency, 0.0, 5.0, 0.0, 14.0, 9.0, 6.0, 0.0, 0.0, 1.0, 6.0
rkrGstNormalizedTokenOverlapMinMatchLength1, 0.0, 2.0, 0.0, 17.0, 13.0, 6.0, 0.0, 0.0, 0.0, 7.0
rkrGst3GramOverlapMinMatchLength3, 0.0, 37.0, 6.0, 303.0, 2120.0, 139.0, 4.0, 4.0, 8.0, 273.0
rkrGstNormalized4GramJaccardMinMatchLength3, 0.0, 24.0, 2.0, 151.0, 337.0, 36.0, 2.0, 1.0, 4.0, 139.0
rkrGst3GramOverlapMinMatchLength1, 0.0, 36.0, 5.0, 317.0, 2166.0, 145.0, 4.0, 3.0, 8.0, 265.0
overlapNormalized5Grams, 0.0, 3.0, 0.0, 10.0, 10.0, 5.0, 0.0, 0.0, 0.0, 4.0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0.0, 24.0, 2.0, 164.0, 337.0, 35.0, 2.0, 1.0, 4.0, 140.0
rkrGstNormalizedShingle3DiceVariantMinMatchLength2, 0.0, 5.0, 0.0, 27.0, 26.0, no result, 0.0, 0.0, 1.0, no result
