max time for a PostVersionList measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstShingle2JaccardMinMatchLength3, 0, 57, 2, 0, 10, no result, 9, 0, 6, 0
cosineNormalizedTokensTermFrequency, 0, 10, 0, 0, 2, 0, 1, 0, 1, 0
rkrGstNormalized4GramDiceVariantMinMatchLength3, 0, 546, 18, 4, 53, 1, 62, 0, 45, 4
optimalAlignmentShingle2FingerprintNormalized, 0, 28, 2, 1, 5, no result, 6, 0, 4, 0
rkrGst2GramJaccardMinMatchLength2, 0, 674, 21, 4, 74, 2, 73, 0, 55, 4
rkrGstNormalizedShingle3DiceVariantMinMatchLength3, 0, 85, 4, 1, 14, no result, 16, 0, 10, no result
optimalAlignment3GramFingerprint, 0, 220, 13, 1, 27, 0, 53, 0, 25, 1
rkrGstNormalizedShingle2OverlapMinMatchLength3, 0, 74, 3, 1, 13, no result, 18, 0, 9, 1
winnowingNormalized2GramDiceVariant, 0, 22, 1, 1, 3, 0, 4, 0, 2, 0
diceNormalized2Grams, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
rkrGstNormalizedShingle3DiceMinMatchLength2, 0, 82, 4, 1, 14, no result, 16, 0, 9, no result
rkrGstShingle2DiceVariantMinMatchLength1, 0, 61, 2, 0, 10, no result, 10, 0, 7, 0
rkrGstNormalizedTokenOverlapMinMatchLength2, 0, 57, 1, 1, 10, 0, 7, 0, 5, 0
rkrGstNormalized4GramDiceVariantMinMatchLength1, 0, 589, 19, 4, 60, 2, 81, 0, 50, 4
rkrGst5GramDiceMinMatchLength3, 0, 796, 22, 5, 83, 2, 95, 0, 64, 5
overlapNormalizedPadding3grams, 0, 19, 1, 1, 3, 0, 5, 0, 3, 0
optimalAlignment5GramFingerprintNormalized, 0, 189, 12, 1, 21, 0, 48, 0, 22, 1
cosineNormalized2GramsTermFrequency, 0, 30, 3, 1, 16, 1, 5, 0, 4, 1
rkrGstNormalized3GramDiceMinMatchLength2, 0, 600, 18, 3, 62, 2, 73, 0, 41, 3
winnowingShingle3Jaccard, 0, no result, 0, 0, 2, no result, 2, 0, 1, no result
rkrGstNormalized4GramOverlapMinMatchLength1, 0, 673, 23, 6, 67, 1, 81, 0, 45, 3
dice4Grams, 0, 14, 1, 0, 2, 0, 3, 0, 2, 0
overlapNormalized2Grams, 0, 16, 1, 0, 2, 0, 3, 0, 2, 0
winnowingNormalized3GramDiceVariant, 0, 20, 1, 1, 3, 0, 4, 0, 3, 0
diceShingles2, 0, 10, 0, 0, 2, no result, 2, 0, 1, 0
rkrGstShingle2OverlapMinMatchLength2, 0, 61, 2, 1, 10, no result, 9, 0, 6, 0
rkrGstNormalized5GramDiceMinMatchLength1, 0, 624, 20, 4, 66, 2, 72, 0, 50, 4
