total time for 10 PostVersionLists measured (text), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstShingle2DiceMinMatchLength2,0,58,2,1,10, no result,9,0,6,0
rkrGstShingle2DiceMinMatchLength3,0,58,2,0,10, no result,9,0,6,0
rkrGstShingle2DiceVariantMinMatchLength1,0,64,2,1,12, no result,9,0,6,0
rkrGstShingle2DiceVariantMinMatchLength2,0,56,2,0,10, no result,9,0,7,0
rkrGstShingle2DiceVariantMinMatchLength3,0,66,2,1,10, no result,9,0,6,0
rkrGstShingle2JaccardMinMatchLength1,0,64,2,1,11, no result,10,0,8,0
rkrGstShingle2JaccardMinMatchLength2,0,64,2,1,11, no result,10,0,6,0
rkrGstShingle2JaccardMinMatchLength3,0,60,2,1,10, no result,9,0,6,0
rkrGstShingle2OverlapMinMatchLength1,0,78,2,1,10, no result,12,0,8,0
rkrGstShingle2OverlapMinMatchLength2,0,68,2,1,11, no result,9,0,7,0
rkrGstShingle2OverlapMinMatchLength3,0,61,2,0,10, no result,9,0,6,0
rkrGstShingle3DiceMinMatchLength1,0, no result,2,1,12, no result,11,0,7, no result
rkrGstShingle3DiceMinMatchLength2,0, no result,2,0,12, no result,14,0,7, no result
rkrGstShingle3DiceMinMatchLength3,0, no result,3,1,11, no result,12,0,7, no result
rkrGstShingle3DiceVariantMinMatchLength1,0, no result,2,1,12, no result,11,0,7, no result
rkrGstShingle3DiceVariantMinMatchLength2,0, no result,2,0,12, no result,10,0,7, no result
rkrGstShingle3DiceVariantMinMatchLength3,0, no result,2,0,12, no result,12,0,7, no result
rkrGstShingle3JaccardMinMatchLength1,0, no result,2,1,13, no result,11,0,8, no result
rkrGstShingle3JaccardMinMatchLength2,0, no result,2,1,13, no result,12,0,7, no result
rkrGstShingle3JaccardMinMatchLength3,0, no result,2,1,12, no result,12,0,7, no result
rkrGstShingle3OverlapMinMatchLength1,0, no result,2,1,12, no result,12,0,7, no result
rkrGstShingle3OverlapMinMatchLength2,0, no result,2,0,13, no result,10,0,7, no result
rkrGstShingle3OverlapMinMatchLength3,0, no result,3,1,13, no result,11,0,8, no result
rkrGstTokenDiceMinMatchLength1,0,51,1,0,8,0,7,0,4,0
rkrGstTokenDiceMinMatchLength2,0,44,1,0,8,0,6,0,4,0
rkrGstTokenDiceMinMatchLength3,0,46,1,0,7,0,7,0,4,0
rkrGstTokenDiceVariantMinMatchLength1,0,50,2,1,8,0,7,0,5,0
rkrGstTokenDiceVariantMinMatchLength2,0,42,1,0,7,0,6,0,4,0
rkrGstTokenDiceVariantMinMatchLength3,0,44,1,0,7,0,6,0,4,0
rkrGstTokenJaccardMinMatchLength1,0,50,2,0,9,0,9,0,5,0
rkrGstTokenJaccardMinMatchLength2,0,49,1,0,7,0,6,0,4,0
rkrGstTokenJaccardMinMatchLength3,0,44,1,0,7,0,7,0,4,0
rkrGstTokenOverlapMinMatchLength1,0,50,1,0,7,0,7,0,4,0
rkrGstTokenOverlapMinMatchLength2,0,45,1,0,8,0,7,0,4,0
rkrGstTokenOverlapMinMatchLength3,0,42,1,0,7,0,6,0,5,0
winnowing2GramDice,0,17,1,0,3,0,3,0,2,0
winnowing2GramDiceVariant,0,16,1,1,2,0,3,0,2,0
winnowing2GramJaccard,0,15,1,0,2,0,3,0,2,0
winnowing2GramOverlap,0,16,1,0,3,0,3,0,2,0
winnowing3GramDice,0,16,1,0,2,0,3,0,2,0
winnowing3GramDiceVariant,0,15,1,0,2,0,3,0,2,0
winnowing3GramJaccard,0,15,1,0,2,0,3,0,2,0
winnowing3GramOverlap,0,68,1,1,3,0,3,0,2,0
winnowing4GramDice,0,16,1,0,3,0,4,0,2,0
winnowing4GramDiceVariant,0,14,1,0,2,0,3,0,2,0
winnowing4GramJaccard,0,15,1,0,2,0,4,0,2,0
winnowing4GramOverlap,0,15,1,0,2,0,3,0,2,0
winnowing5GramDice,0,15,1,0,4,0,3,0,2,0
winnowing5GramDiceVariant,0,14,1,0,2,0,4,0,2,0
winnowing5GramJaccard,0,17,1,0,2,0,3,0,2,0
winnowing5GramOverlap,0,15,1,0,2,0,3,0,2,0
winnowingNormalized2GramDice,0,19,1,1,3,0,4,0,2,0
winnowingNormalized2GramDiceVariant,0,19,1,1,3,0,4,0,3,0
winnowingNormalized2GramJaccard,0,19,1,1,3,0,4,0,2,0
winnowingNormalized2GramOverlap,0,24,1,1,3,0,4,0,3,0
winnowingNormalized3GramDice,0,18,2,0,3,0,4,0,2,0
winnowingNormalized3GramDiceVariant,0,20,1,1,3,0,4,0,3,0
winnowingNormalized3GramJaccard,0,22,1,1,3,0,4,0,3,1
winnowingNormalized3GramOverlap,0,19,1,0,3,2,4,0,3,0
winnowingNormalized4GramDice,0,18,1,1,3,0,4,0,2,0
winnowingNormalized4GramDiceVariant,0,21,1,1,3,0,4,0,3,0
winnowingNormalized4GramJaccard,0,21,3,1,4,0,4,0,3,0
winnowingNormalized4GramOverlap,0,19,1,0,3,0,4,0,3,0
winnowingNormalized5GramDice,0,20,1,1,3,0,4,0,2,0
winnowingNormalized5GramDiceVariant,0,19,1,1,3,0,5,0,3,0
winnowingNormalized5GramJaccard,0,20,1,1,3,0,4,0,3,0
winnowingNormalized5GramOverlap,0,20,1,0,3,0,4,0,4,0
winnowingNormalizedShingle2Dice,0,23,1,1,5, no result,6,0,3,0
winnowingNormalizedShingle2DiceVariant,0,25,1,1,4, no result,4,0,3,0
winnowingNormalizedShingle2Jaccard,0,21,1,1,4, no result,4,0,4,0
winnowingNormalizedShingle2Overlap,0,23,1,1,4, no result,4,0,3,0
winnowingNormalizedShingle3Dice,0,22,1,1,4, no result,6,0,3, no result
winnowingNormalizedShingle3DiceVariant,0,26,2,1,4, no result,4,0,3, no result
winnowingNormalizedShingle3Jaccard,0,25,1,1,4, no result,5,0,3, no result
winnowingNormalizedShingle3Overlap,0,22,1,1,4, no result,4,0,3, no result
winnowingNormalizedTokenDice,0,11,0,0,1,0,3,0,1,0
winnowingNormalizedTokenDiceVariant,0,9,0,0,2,0,2,0,3,0
