total time for 10 PostVersionLists measured (code), p_140861, p_326440, p_1109108, p_2581754, p_3145655, p_3758880, p_5445161, p_5599842, p_9855338, p_26196831
rkrGstShingle3JaccardMinMatchLength1,0, no result,0,31,24, no result,0,0,1, no result
rkrGstShingle3JaccardMinMatchLength2,0, no result,0,31,23, no result,0,0,1, no result
rkrGstShingle3JaccardMinMatchLength3,0, no result,0,27,22, no result,0,0,1, no result
rkrGstShingle3OverlapMinMatchLength1,0, no result,0,32,29, no result,0,0,1, no result
rkrGstShingle3OverlapMinMatchLength2,0, no result,0,26,21, no result,0,0,1, no result
rkrGstShingle3OverlapMinMatchLength3,0, no result,0,35,23, no result,0,0,1, no result
rkrGstTokenDiceMinMatchLength1,0,2,0,18,13,7,0,0,0,7
rkrGstTokenDiceMinMatchLength2,0,1,0,16,13,6,0,0,0,7
rkrGstTokenDiceMinMatchLength3,0,2,0,16,13,7,0,0,0,6
rkrGstTokenDiceVariantMinMatchLength1,0,2,0,18,14,6,0,0,0,6
rkrGstTokenDiceVariantMinMatchLength2,0,2,0,17,12,7,0,0,0,6
rkrGstTokenDiceVariantMinMatchLength3,0,2,0,16,13,6,0,0,0,6
rkrGstTokenJaccardMinMatchLength1,0,2,0,20,15,9,0,0,0,8
rkrGstTokenJaccardMinMatchLength2,0,2,0,18,15,6,1,0,0,6
rkrGstTokenJaccardMinMatchLength3,0,2,0,18,13,6,0,0,0,7
rkrGstTokenOverlapMinMatchLength1,0,2,0,17,13,7,0,0,0,7
rkrGstTokenOverlapMinMatchLength2,0,1,0,16,14,6,0,0,0,6
rkrGstTokenOverlapMinMatchLength3,0,2,0,16,12,6,0,0,0,6
winnowing2GramDice,0,2,0,11,9,3,0,0,0,4
winnowing2GramDiceVariant,0,2,0,9,8,5,0,0,0,4
winnowing2GramJaccard,0,2,0,11,8,3,0,0,0,4
winnowing2GramOverlap,0,3,0,10,9,3,0,0,0,4
winnowing3GramDice,0,2,0,9,9,3,0,0,0,4
winnowing3GramDiceVariant,0,2,0,11,8,3,0,0,0,4
winnowing3GramJaccard,0,2,0,9,8,3,0,0,0,4
winnowing3GramOverlap,0,4,0,12,9,4,0,0,0,5
winnowing4GramDice,0,2,0,12,11,4,0,0,0,5
winnowing4GramDiceVariant,0,2,0,9,9,5,0,0,0,4
winnowing4GramJaccard,0,2,0,9,8,3,0,0,0,4
winnowing4GramOverlap,0,2,0,10,9,3,0,0,0,4
winnowing5GramDice,0,2,0,10,8,3,0,0,0,4
winnowing5GramDiceVariant,0,2,0,9,8,3,0,0,0,5
winnowing5GramJaccard,0,2,0,10,8,4,0,0,0,4
winnowing5GramOverlap,0,2,0,9,10,3,0,0,0,5
winnowingNormalized2GramDice,0,3,0,9,8,3,0,0,0,5
winnowingNormalized2GramDiceVariant,0,3,0,10,8,3,0,0,0,5
winnowingNormalized2GramJaccard,0,3,0,10,8,3,0,0,0,5
winnowingNormalized2GramOverlap,0,4,0,11,9,3,0,0,0,5
winnowingNormalized3GramDice,0,3,0,9,8,3,0,0,0,5
winnowingNormalized3GramDiceVariant,0,3,0,10,9,3,0,0,0,5
winnowingNormalized3GramJaccard,0,3,0,10,9,3,0,0,0,5
winnowingNormalized3GramOverlap,0,3,0,10,8,3,0,0,0,5
winnowingNormalized4GramDice,0,3,0,9,8,4,0,0,0,5
winnowingNormalized4GramDiceVariant,0,3,0,11,9,3,0,0,0,6
winnowingNormalized4GramJaccard,0,3,0,10,9,3,0,0,0,5
winnowingNormalized4GramOverlap,0,3,0,10,8,3,0,0,0,5
winnowingNormalized5GramDice,0,3,0,10,9,4,0,0,0,5
winnowingNormalized5GramDiceVariant,0,3,0,10,8,3,0,0,0,5
winnowingNormalized5GramJaccard,0,3,0,10,9,3,0,0,0,5
winnowingNormalized5GramOverlap,0,3,0,10,8,3,0,0,0,5
winnowingNormalizedShingle2Dice,0,3,0,14,8, no result,0,0,1,4
winnowingNormalizedShingle2DiceVariant,0,3,0,9,7, no result,0,0,1,4
winnowingNormalizedShingle2Jaccard,0,2,0,9,7, no result,0,0,0,4
winnowingNormalizedShingle2Overlap,0,3,0,9,6, no result,0,0,0,5
winnowingNormalizedShingle3Dice,0,2,0,10,7, no result,0,0,0, no result
winnowingNormalizedShingle3DiceVariant,0,3,0,10,7, no result,0,0,0, no result
winnowingNormalizedShingle3Jaccard,0,3,0,10,7, no result,0,0,0, no result
winnowingNormalizedShingle3Overlap,0,3,0,11,7, no result,0,0,0, no result
winnowingNormalizedTokenDice,0,1,0,7,3,1,0,0,0,2
